epoch,learning_rate,train_loss,train_data_loss,train_regularization_loss,train_accuracy,test_loss,test_data_loss,test_regularization_loss,test_accuracy,test_f1_score,mean_gradient_norm,mean_mistake_signal,velocity_norm,clipped_batches,parameter_l2_norm,is_best
1,0.12,0.5242031750169708,0.523474228683799,0.0007289463331718165,0.8011111111111111,0.5321685145960032,0.5314395682628315,0.0007289463331718165,0.7933333333333333,0.8037974683544303,3.8922095541143107,0.3953660918983077,0.04278524601865422,36,2.7902365076230966,True
2,0.11822660098522168,0.43814909653767004,0.43685346083928944,0.0012956356983805804,0.8333333333333334,0.44076355890787444,0.43946792320949385,0.0012956356983805804,0.8333333333333334,0.8387096774193549,3.7479163971398357,0.3126543909064612,0.043764847928571084,33,3.754234572488737,True
3,0.11650485436893203,0.3853665642618827,0.3834911059588324,0.001875458303050328,0.8433333333333334,0.3807137337202815,0.3788382754172312,0.001875458303050328,0.86,0.8627450980392156,4.123809984782199,0.2645054814707473,0.03856897829794066,35,4.526893630173215,True
4,0.11483253588516747,0.34264506425365,0.3402617922097177,0.002383272043932314,0.8811111111111111,0.33672987490646683,0.33434660286253454,0.002383272043932314,0.8933333333333333,0.8999999999999999,4.660000338043241,0.2350549634262418,0.027719296564510536,34,5.160257761206529,True
5,0.11320754716981131,0.30574451202597563,0.30277602741919923,0.0029684846067764056,0.8888888888888888,0.29715449340531,0.2941860087985336,0.0029684846067764056,0.9,0.9074074074074074,4.35420127890631,0.2118535787997834,0.030243616769719265,34,5.7772887160819835,True
6,0.11162790697674418,0.2713606368472468,0.2677164663683541,0.0036441704788926963,0.9011111111111111,0.26085224035967003,0.2572080698807773,0.0036441704788926963,0.92,0.9235668789808917,4.076577110632878,0.1894645210456964,0.027361854835772942,32,6.405260956483031,True
7,0.11009174311926605,0.2494433030645714,0.2452099665551638,0.004233336509407591,0.9422222222222222,0.2372039436829802,0.2329706071735726,0.004233336509407591,0.9633333333333334,0.9636963696369638,4.46304680436124,0.16756765839157015,0.036267099363772856,35,6.898752185947076,True
8,0.1085972850678733,0.22769523226556188,0.2229268444463141,0.004768387819247765,0.9488888888888889,0.21603844208345355,0.21127005426420578,0.004768387819247765,0.96,0.9607843137254902,4.855833020534344,0.15661701439316975,0.035773762210510825,34,7.3402574961652025,True
9,0.10714285714285712,0.2155651687809075,0.21034205757008734,0.0052231112108201624,0.9444444444444444,0.2017840764526514,0.19656096524183123,0.0052231112108201624,0.9666666666666667,0.9668874172185431,5.059926515327795,0.1438457428577103,0.023327190184196486,35,7.678928545749724,True
10,0.10572687224669602,0.20307381782933517,0.19740192253181174,0.005671895297523422,0.9522222222222222,0.189392684799609,0.18372078950208556,0.005671895297523422,0.96,0.9602649006622516,5.17891442014745,0.13536370727937197,0.011226017278182666,34,8.002306162208965,True
11,0.10434782608695653,0.19775749337737958,0.19174986500296273,0.006007628374416849,0.9522222222222222,0.18576591733658582,0.17975828896216897,0.006007628374416849,0.95,0.952076677316294,5.1964281008506275,0.127329339517426,0.020370311846345045,35,8.274569252948885,True
12,0.10300429184549356,0.18795869289115089,0.18153973767303075,0.006418955218120129,0.9622222222222222,0.17493648828758238,0.16851753306946224,0.006418955218120129,0.9666666666666667,0.9668874172185431,5.042158902411835,0.12204962027012296,0.0239953740900324,34,8.529074906695095,True
13,0.1016949152542373,0.17700847735985817,0.17018850350543574,0.006819973854422421,0.9666666666666667,0.16455150363916424,0.1577315297847418,0.006819973854422421,0.9666666666666667,0.9673202614379085,4.648618300368956,0.11645366679794322,0.03248625690007153,34,8.796478353348363,True
14,0.10041841004184099,0.17506335352601074,0.1678831377727757,0.007180215753235045,0.9611111111111111,0.16142299170100627,0.15424277594777122,0.007180215753235045,0.9666666666666667,0.9666666666666667,4.947109549012721,0.11161118334623792,0.0175297254239486,34,9.025956240878877,True
15,0.09917355371900827,0.16536979326516643,0.15784179765160375,0.007527995613562678,0.97,0.15383620838305442,0.14630821276949174,0.007527995613562678,0.97,0.9706840390879479,5.0000335548607415,0.1081933203216825,0.02517687928449054,34,9.247473051321295,True
16,0.09795918367346938,0.16494712034903375,0.1570943075601516,0.007852812788882134,0.9566666666666667,0.1540779574913714,0.14622514470248926,0.007852812788882134,0.9533333333333334,0.9548387096774195,4.77076081875808,0.10329671780565042,0.017744943614381236,34,9.45795804276786,False
17,0.0967741935483871,0.1577296542772334,0.14954248939078932,0.008187164886444092,0.9611111111111111,0.14690450662861898,0.1387173417421749,0.008187164886444092,0.9633333333333334,0.9639344262295082,5.450401166556917,0.09926917430654966,0.010544794375184487,35,9.633568309434434,True
18,0.09561752988047809,0.1522015377987055,0.14377214587847836,0.008429391920227134,0.9733333333333334,0.14183501092444706,0.13340561900421993,0.008429391920227134,0.97,0.9704918032786887,5.450479536921939,0.09735258151660783,0.02513511803185708,37,9.78937736392616,True
19,0.09448818897637795,0.15007821923243964,0.14135919942802203,0.008719019804417596,0.9744444444444444,0.14033016851721708,0.13161114871279947,0.008719019804417596,0.9666666666666667,0.9675324675324676,5.344295772711777,0.09457900476459889,0.02338618910390097,32,9.960694723554896,True
20,0.0933852140077821,0.14731361699049247,0.13833773408853003,0.008975882901962433,0.97,0.13709106239446597,0.12811517949250353,0.008975882901962433,0.97,0.9704918032786887,5.585538509754355,0.09256190401095325,0.017911478601768782,34,10.10892797057772,True
21,0.0923076923076923,0.14558322493378972,0.13630460393681842,0.009278620996971312,0.9633333333333334,0.13502393871300172,0.1257453177160304,0.009278620996971312,0.9633333333333334,0.9634551495016612,5.452808676923715,0.09058509952038103,0.026947421411443996,36,10.256091177435142,True
22,0.09125475285171103,0.14107023291533044,0.1316137041823017,0.009456528733028751,0.9711111111111111,0.13186918969097952,0.12241266095795077,0.009456528733028751,0.9633333333333334,0.9641693811074918,6.03380679699675,0.09012031688449001,0.01742950528820767,35,10.370532403975018,True
23,0.09022556390977443,0.14182286901276753,0.13207934044992478,0.00974352856284276,0.9566666666666667,0.12971923631808663,0.11997570775524385,0.00974352856284276,0.9633333333333334,0.9632107023411371,5.168202612973484,0.08514346669290904,0.02199610354697331,36,10.508278637119673,True
24,0.08921933085501858,0.1376410572057643,0.12769840883727232,0.009942648368491996,0.9622222222222222,0.12655987357285672,0.11661722520436472,0.009942648368491996,0.97,0.9702970297029702,5.997081511249299,0.08509150290642441,0.02863128719399279,37,10.621669244669068,True
25,0.08823529411764706,0.13568337046463902,0.1255582995112738,0.010125070953365204,0.9722222222222222,0.1265687613361322,0.116443690382767,0.010125070953365204,0.9666666666666667,0.9673202614379085,6.01177592632268,0.08487637240397035,0.021022667200506506,37,10.72519667169789,False
26,0.08727272727272727,0.13768942949234853,0.1273234224457201,0.010366007046628422,0.9544444444444444,0.12633369093198346,0.11596768388535504,0.010366007046628422,0.97,0.9700996677740864,5.835629041249412,0.08141257102681464,0.019464117752213413,36,10.837280224586086,False
27,0.08633093525179855,0.13213089985883084,0.12157842899218871,0.010552470866642133,0.9677777777777777,0.1213702466675354,0.11081777580089328,0.010552470866642133,0.9733333333333334,0.9735099337748344,5.497460884729638,0.08065959706285668,0.016153086621615888,35,10.945061847663117,True
28,0.08540925266903913,0.13198569481789263,0.12127375422767712,0.010711940590215492,0.9744444444444444,0.12341786968123568,0.11270592909102019,0.010711940590215492,0.9666666666666667,0.9675324675324676,5.7041482277508155,0.07954761209125413,0.02122526118081341,35,11.046776544171816,False
29,0.08450704225352113,0.13003326897614745,0.11911062768546316,0.010922641290684296,0.9711111111111111,0.12122191668206321,0.11029927539137892,0.010922641290684296,0.9733333333333334,0.9736842105263157,6.038165901340089,0.07895808494878155,0.01657788869920226,34,11.146456399878302,False
30,0.08362369337979093,0.12626970178501792,0.11511852985486981,0.01115117193014812,0.9744444444444444,0.11838724256341332,0.10723607063326521,0.01115117193014812,0.97,0.9706840390879479,5.517201431597765,0.07698740321782523,0.021833357353412554,31,11.258708748041949,True
31,0.08275862068965517,0.12885940462783768,0.11746636215925493,0.011393042468582758,0.9622222222222222,0.11717223088252632,0.10577918841394356,0.011393042468582758,0.97,0.9698996655518394,5.219504262598444,0.0754321409658601,0.012904603745152544,34,11.36069584985888,True
32,0.08191126279863482,0.12328511670703951,0.11171902709710835,0.01156608960993116,0.9688888888888889,0.11456184423994786,0.1029957546300167,0.01156608960993116,0.97,0.9704918032786887,5.481573126879951,0.07400629441388325,0.020324216686123563,37,11.455348683059425,True
33,0.08108108108108109,0.12411123073268931,0.11241072529551877,0.011700505437170551,0.9766666666666667,0.1169547717156193,0.10525426627844875,0.011700505437170551,0.9666666666666667,0.9675324675324676,6.019361399868183,0.07524396945122115,0.011673672261003255,33,11.537540735461697,False
34,0.08026755852842808,0.12141840695264568,0.10951486473773776,0.011903542214907912,0.9755555555555555,0.11374671988081558,0.10184317766590767,0.011903542214907912,0.97,0.9706840390879479,5.794357177277153,0.0729089034596648,0.011726063148469338,36,11.625870169549943,True
35,0.07947019867549669,0.12369932775639976,0.11159880648477945,0.012100521271620318,0.9677777777777777,0.11270174295722712,0.10060122168560681,0.012100521271620318,0.9833333333333333,0.9834983498349835,5.042286889763529,0.07144539435903643,0.020207969387711012,32,11.716494378464256,True
